"Category","Status","Risk","NexusModId","LogFile","SourceLog"
"Skipped / do not install now","skipped","n/a","3097;8707","decision-skip-cheaper-lore-friendlier-shop-prices-3097-8707-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\decision-skip-cheaper-lore-friendlier-shop-prices-3097-8707-2026-06-24.md"
"Skipped / do not install now","skipped","n/a","7353","decision-skip-interface-animations-7353-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\decision-skip-interface-animations-7353-2026-06-24.md"
"Skipped / do not install now","skipped","n/a","11934","decision-skip-kaer-morhen-extended-edition-11934-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\decision-skip-kaer-morhen-extended-edition-11934-2026-06-24.md"
"Skipped / do not install now","skipped","n/a","","decision-skip-waterwheel2-shadowflickersfix-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\decision-skip-waterwheel2-shadowflickersfix-2026-06-24.md"
"Deferred","deferred","medium","8081","defer-alchemy-primer-8081-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\defer-alchemy-primer-8081-2026-06-24.md"
"Reference / notes","reference","medium","","direct-launcher-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\direct-launcher-2026-06-22.md"
"Download triage","triage-batch","medium","","download-triage-contained-fixes-batch-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\download-triage-contained-fixes-batch-2026-06-23.md"
"Download triage","triage-batch","medium","","download-triage-low-risk-batch-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\download-triage-low-risk-batch-2026-06-23.md"
"Troubleshooting / validation","troubleshooting-record","medium","","dx12-crash-2026-06-21.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\dx12-crash-2026-06-21.md"
"Troubleshooting / validation","troubleshooting-record","medium","","enable-debug-console-testing-workflow-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\enable-debug-console-testing-workflow-2026-06-23.md"
"Fix / restoration applied","fix-applied","medium","","fix-dx12-missing-mouse-cursor-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\fix-dx12-missing-mouse-cursor-2026-06-23.md"
"Fix / restoration applied","fix-applied","medium","","fix-live-bestiary-dlc-root-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\fix-live-bestiary-dlc-root-2026-06-23.md"
"Fix / restoration applied","fix-applied","medium","","fix-menu-organizer-xml-filelist-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\fix-menu-organizer-xml-filelist-2026-06-25.md"
"Fix / restoration applied","fix-applied","medium","","fix-new-lightning-debug-overlay-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\fix-new-lightning-debug-overlay-2026-06-23.md"
"Troubleshooting / validation","troubleshooting-record","medium","","game-smoke-tests-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\game-smoke-tests-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","","inspect-new-lightning-fx-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\inspect-new-lightning-fx-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","","install-2026-06-21.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-2026-06-21.md"
"Installed standard path","installed-standard-or-script-merged","medium","6033","install-additional-stash-locations-bia-patch-6033-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-additional-stash-locations-bia-patch-6033-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","7979","install-aio-rt-tweaks-7979-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-aio-rt-tweaks-7979-2026-06-23.md"
