"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-24 09:33:42","9458","E3 Vlad.zip","2135.02","https://www.nexusmods.com/witcher3/mods/9458","C:\Users\marti\Downloads\E3 Vlad.zip","triage","Source inferred from E3 Vlad Nexus page context."
"2026-06-24 09:32:37","7434","Darker Nights-7434-1-6-1720801651.rar","0.13","https://www.nexusmods.com/witcher3/mods/7434","C:\Users\marti\Downloads\Darker Nights-7434-1-6-1720801651.rar","triage",""
"2026-06-24 07:59:54","7087","Concept Ver-7087-1-0a-1667968189.zip","7.71","https://www.nexusmods.com/witcher3/mods/7087","C:\Users\marti\Downloads\Concept Ver-7087-1-0a-1667968189.zip","triage",""
"2026-06-24 07:58:11","8949","VladUI - Clear Map Addon Full Version Next-Gen-8949-FullVersion-NextGen-1-1-1733960838.zip","13.71","https://www.nexusmods.com/witcher3/mods/8949","C:\Users\marti\Downloads\VladUI - Clear Map Addon Full Version Next-Gen-8949-FullVersion-NextGen-1-1-1733960838.zip","triage",""
"2026-06-24 07:43:08","4809","Geralt The Master Cook-4809-2-1-4-1598353459.7z","0.91","https://www.nexusmods.com/witcher3/mods/4809","C:\Users\marti\Downloads\Geralt The Master Cook-4809-2-1-4-1598353459.7z","triage",""
"2026-06-24 07:38:27","4693","TWCG random theme-4693-1-0-1588593744.zip","23.65","https://www.nexusmods.com/witcher3/mods/4693","C:\Users\marti\Downloads\TWCG random theme-4693-1-0-1588593744.zip","triage",""
"2026-06-24 07:28:12","8174","Woodland Spirit Aftermath-8174-1-1-1694833212.zip","371.29","https://www.nexusmods.com/witcher3/mods/8174","C:\Users\marti\Downloads\Woodland Spirit Aftermath-8174-1-1-1694833212.zip","triage",""
"2026-06-24 06:50:35","6880","Basic Cooking Recipes Next Gen-6880-2-2-1718388433.zip","0.01","https://www.nexusmods.com/witcher3/mods/6880","C:\Users\marti\Downloads\Basic Cooking Recipes Next Gen-6880-2-2-1718388433.zip","triage",""
"2026-06-24 06:49:29","12293","Everlasting Shrines Of Verna-12293-2-1780454240.zip","0","https://www.nexusmods.com/witcher3/mods/12293","C:\Users\marti\Downloads\Everlasting Shrines Of Verna-12293-2-1780454240.zip","triage",""
"2026-06-24 06:48:36","7307","Shrine of Verna-7307-2-0-1717720686.zip","0.06","https://www.nexusmods.com/witcher3/mods/7307","C:\Users\marti\Downloads\Shrine of Verna-7307-2-0-1717720686.zip","triage",""
